Quadrant,ind,month,N,initial_count,index,xy
HE-HC,Service Industries,2018-01-01,17862,17862,100,HE-HC Service Industries
HE-LC,Service Industries,2018-01-01,24940,24940,100,HE-LC Service Industries
HE-HC,Service Industries,2018-02-01,15665,17862,87.70014556040758,HE-HC Service Industries
HE-LC,Service Industries,2018-02-01,23682,24940,94.95589414595028,HE-LC Service Industries
HE-HC,Service Industries,2018-03-01,17953,17862,100.509461426492,HE-HC Service Industries
HE-LC,Service Industries,2018-03-01,28146,24940,112.85485164394547,HE-LC Service Industries
HE-HC,Service Industries,2018-04-01,16982,17862,95.073340051506,HE-HC Service Industries
HE-LC,Service Industries,2018-04-01,25921,24940,103.93344025661588,HE-LC Service Industries
HE-HC,Service Industries,2018-05-01,18002,17862,100.78378680998767,HE-HC Service Industries
HE-LC,Service Industries,2018-05-01,26413,24940,105.90617481956697,HE-LC Service Industries
HE-HC,Service Industries,2018-06-01,17456,17862,97.72701825103572,HE-HC Service Industries
HE-LC,Service Industries,2018-06-01,25078,24940,100.55332798716921,HE-LC Service Industries
HE-HC,Service Industries,2018-07-01,17031,17862,95.34766543500169,HE-HC Service Industries
HE-LC,Service Industries,2018-07-01,26025,24940,104.3504410585405,HE-LC Service Industries
HE-HC,Service Industries,2018-08-01,17123,17862,95.86272533870786,HE-HC Service Industries
HE-LC,Service Industries,2018-08-01,27523,24940,110.35685645549319,HE-LC Service Industries
HE-HC,Service Industries,2018-09-01,17040,17862,95.39805172992945,HE-HC Service Industries
HE-LC,Service Industries,2018-09-01,27432,24940,109.99198075380914,HE-LC Service Industries
HE-HC,Service Industries,2018-10-01,18055,17862,101.08050610234017,HE-HC Service Industries
HE-LC,Service Industries,2018-10-01,28713,24940,115.12830793905373,HE-LC Service Industries
HE-HC,Service Industries,2018-11-01,17533,17862,98.15810099652894,HE-HC Service Industries
HE-LC,Service Industries,2018-11-01,25288,24940,101.39534883720931,HE-LC Service Industries
HE-HC,Service Industries,2018-12-01,14062,17862,78.7257865860486,HE-HC Service Industries
HE-LC,Service Industries,2018-12-01,18737,24940,75.12830793905373,HE-LC Service Industries
HE-HC,Service Industries,2019-01-01,18095,17862,101.30444519090807,HE-HC Service Industries
HE-LC,Service Industries,2019-01-01,25272,24940,101.33119486768243,HE-LC Service Industries
HE-HC,Service Industries,2019-02-01,16223,17862,90.8240958459299,HE-HC Service Industries
HE-LC,Service Industries,2019-02-01,23549,24940,94.42261427425822,HE-LC Service Industries
HE-HC,Service Industries,2019-03-01,19571,17862,109.56779755906393,HE-HC Service Industries
HE-LC,Service Industries,2019-03-01,26745,24940,107.2373696872494,HE-LC Service Industries
HE-HC,Service Industries,2019-04-01,17200,17862,96.29380808420109,HE-HC Service Industries
HE-LC,Service Industries,2019-04-01,25357,24940,101.6720128307939,HE-LC Service Industries
HE-HC,Service Industries,2019-05-01,19567,17862,109.54540365020715,HE-HC Service Industries
HE-LC,Service Industries,2019-05-01,25175,24940,100.94226142742582,HE-LC Service Industries
HE-HC,Service Industries,2019-06-01,18081,17862,101.2260665099093,HE-HC Service Industries
HE-LC,Service Industries,2019-06-01,22900,24940,91.82036888532478,HE-LC Service Industries
HE-HC,Service Industries,2019-07-01,19425,17862,108.75041988579106,HE-HC Service Industries
HE-LC,Service Industries,2019-07-01,26478,24940,106.16680032076984,HE-LC Service Industries
HE-HC,Service Industries,2019-08-01,19235,17862,107.68670921509349,HE-HC Service Industries
HE-LC,Service Industries,2019-08-01,27686,24940,111.01042502004812,HE-LC Service Industries
