month,STC_Quadrant,avg_remuneration
2023-01-01,HE-HC,36.34505689688662
2023-02-01,HE-HC,36.464027142394734
2023-03-01,HE-HC,36.598828047465034
2023-04-01,HE-HC,37.08400848034025
2023-05-01,HE-HC,36.570268509418376
2023-06-01,HE-HC,37.15320205723595
2023-07-01,HE-HC,37.24570985868085
2023-08-01,HE-HC,36.4281839995747
2023-09-01,HE-HC,36.9795197283236
2023-10-01,HE-HC,38.16950531553898
2023-11-01,HE-HC,38.77750712059184
2023-12-01,HE-HC,39.746473778122315
2024-01-01,HE-HC,39.16525087161702
2024-02-01,HE-HC,40.72484623608504
2024-03-01,HE-HC,40.34151659974621
2024-04-01,HE-HC,41.3063184203481
2024-05-01,HE-HC,39.99414052520144
2024-06-01,HE-HC,39.68365952013058
2024-07-01,HE-HC,39.76883474442422
2020-01-01,HE-HC,34.40703957234875
2020-02-01,HE-HC,32.609264677183106
2020-03-01,HE-HC,32.72524731492124
2020-04-01,HE-HC,34.38813992467014
2020-05-01,HE-HC,32.36667142001203
2020-06-01,HE-HC,32.93434368632281
2020-07-01,HE-HC,32.58896387339661
2020-08-01,HE-HC,31.94055410041829
2020-09-01,HE-HC,32.77945000000006
2020-10-01,HE-HC,32.957199576938756
2020-11-01,HE-HC,33.4672282194016
2020-12-01,HE-HC,34.71227371889713
2021-01-01,HE-HC,33.9138904618904
2021-02-01,HE-HC,33.609652118711175
2021-03-01,HE-HC,34.626828987489795
2021-04-01,HE-HC,35.45786550433696
2021-05-01,HE-HC,34.48278659288508
2021-06-01,HE-HC,33.89180185392405
2021-07-01,HE-HC,33.82076537296011
2021-08-01,HE-HC,34.17864837150988
2021-09-01,HE-HC,34.93246353194516
2021-10-01,HE-HC,35.32991580938668
2021-11-01,HE-HC,36.15814499261417
2021-12-01,HE-HC,36.18467062090813
2022-01-01,HE-HC,36.25845978755618
2022-02-01,HE-HC,35.98164647812131
2022-03-01,HE-HC,35.811364152978854
2022-04-01,HE-HC,35.05154423920051
2022-05-01,HE-HC,34.62449808116597
2022-06-01,HE-HC,35.667636436123175
2022-07-01,HE-HC,35.76074549519485
2022-08-01,HE-HC,35.33087761533092
2022-09-01,HE-HC,36.06136583028153
2022-10-01,HE-HC,35.47716278478288
2022-11-01,HE-HC,36.473107904936185
2022-12-01,HE-HC,37.07949427297617
2018-01-01,HE-HC,32.13522676033597
2018-02-01,HE-HC,30.99215923533524
2018-03-01,HE-HC,31.11950014563117
2018-04-01,HE-HC,30.107938188919373
2018-05-01,HE-HC,30.00635763747436
2018-06-01,HE-HC,31.386296267714005
2018-07-01,HE-HC,31.29845506975387
2018-08-01,HE-HC,30.61612195356483
2018-09-01,HE-HC,31.06427981314137
2018-10-01,HE-HC,32.32496564534039
2018-11-01,HE-HC,32.036256076922825
2018-12-01,HE-HC,31.959251212894934
2019-01-01,HE-HC,30.264011296549988
2019-02-01,HE-HC,31.42413011764699
2019-03-01,HE-HC,32.44414677900381
2019-04-01,HE-HC,32.25005802274115
2019-05-01,HE-HC,31.857028322439703
2019-06-01,HE-HC,32.70305170682681
2019-07-01,HE-HC,32.219469362136536
2019-08-01,HE-HC,31.748910609121967
2019-09-01,HE-HC,33.27034287833791
2019-10-01,HE-HC,35.7786008765925
2019-11-01,HE-HC,35.15000302670586
2019-12-01,HE-HC,34.97305711985631
2023-01-01,HE-LC,24.516885135905838
2023-02-01,HE-LC,24.94114360366993
2023-03-01,HE-LC,24.407479069196455
2023-04-01,HE-LC,24.643266845484526
2023-05-01,HE-LC,24.718672988505972
2023-06-01,HE-LC,25.08578610153777
2023-07-01,HE-LC,25.227462858247616
2023-08-01,HE-LC,24.838220361165426
2023-09-01,HE-LC,25.39998258980909
2023-10-01,HE-LC,25.485010393617646
2023-11-01,HE-LC,26.489405744937567
2023-12-01,HE-LC,27.2340379210281
2024-01-01,HE-LC,27.399562379257734
2024-02-01,HE-LC,28.17856964335792
2024-03-01,HE-LC,27.765583715635195
2024-04-01,HE-LC,28.315713727028538
2024-05-01,HE-LC,26.63981339382272
2024-06-01,HE-LC,26.75993686689547
2024-07-01,HE-LC,27.322419146513422
2020-01-01,HE-LC,21.964299330301905
2020-02-01,HE-LC,21.133401348039307
2020-03-01,HE-LC,21.806151425247304
2020-04-01,HE-LC,21.881941911641142
2020-05-01,HE-LC,21.691486090898078
2020-06-01,HE-LC,21.030915240814615
2020-07-01,HE-LC,20.827932542513953
2020-08-01,HE-LC,20.92943924681198
2020-09-01,HE-LC,21.161442535604547
2020-10-01,HE-LC,21.73151028878143
2020-11-01,HE-LC,21.87298687453163
2020-12-01,HE-LC,22.835760465339092
2021-01-01,HE-LC,22.966218959992645
2021-02-01,HE-LC,22.124412790271336
2021-03-01,HE-LC,21.959246780901033
2021-04-01,HE-LC,22.6943170772376
2021-05-01,HE-LC,22.28530828895135
2021-06-01,HE-LC,21.782731768691143
2021-07-01,HE-LC,22.006889961992414
2021-08-01,HE-LC,22.172098757073634
2021-09-01,HE-LC,22.57852111264903
2021-10-01,HE-LC,22.906502824134975
2021-11-01,HE-LC,22.9791507251542
2021-12-01,HE-LC,23.431849065916975
2022-01-01,HE-LC,24.141090602006745
2022-02-01,HE-LC,23.854890687539005
2022-03-01,HE-LC,23.244047880184407
2022-04-01,HE-LC,23.38966263174531
2022-05-01,HE-LC,23.203340776552288
2022-06-01,HE-LC,23.77800599858482
2022-07-01,HE-LC,23.790459738079143
2022-08-01,HE-LC,23.34032131997233
2022-09-01,HE-LC,23.897873445909756
2022-10-01,HE-LC,23.883539491654044
2022-11-01,HE-LC,24.373128006269635
2022-12-01,HE-LC,24.681962852625666
2018-01-01,HE-LC,20.749588093948404
2018-02-01,HE-LC,20.86233140649151
2018-03-01,HE-LC,20.894432571174274
2018-04-01,HE-LC,20.240802219054277
2018-05-01,HE-LC,20.1645153417532
2018-06-01,HE-LC,20.74973623875703
2018-07-01,HE-LC,20.16458414394162
2018-08-01,HE-LC,20.083204242600726
2018-09-01,HE-LC,20.358274257662696
2018-10-01,HE-LC,20.919059631831754
2018-11-01,HE-LC,21.14489501086334
2018-12-01,HE-LC,21.814594161131307
2019-01-01,HE-LC,21.61314546429146
2019-02-01,HE-LC,21.068704679367062
2019-03-01,HE-LC,21.00206929688124
2019-04-01,HE-LC,20.65202949456681
2019-05-01,HE-LC,20.92197227798032
2019-06-01,HE-LC,21.034546988807787
2019-07-01,HE-LC,20.93287701888948
2019-08-01,HE-LC,20.647456744943803
2019-09-01,HE-LC,21.097298951106538
2019-10-01,HE-LC,21.62032321732942
2019-11-01,HE-LC,21.98340451152766
2019-12-01,HE-LC,21.984227144614707
2023-01-01,LE,22.85553296310381
2023-02-01,LE,22.925478657205044
2023-03-01,LE,22.90147662462636
2023-04-01,LE,22.75454719709968
2023-05-01,LE,22.812301275028567
2023-06-01,LE,23.262556184064806
2023-07-01,LE,23.169263750207403
2023-08-01,LE,22.87645947249337
2023-09-01,LE,23.258909182803574
2023-10-01,LE,23.412991270135056
2023-11-01,LE,24.037035843591454
2023-12-01,LE,23.9971799901183
2024-01-01,LE,24.75246143534231
2024-02-01,LE,24.768094165930297
2024-03-01,LE,24.476403136798897
2024-04-01,LE,24.619625066755447
2024-05-01,LE,24.26221932667693
2024-06-01,LE,24.36253948732741
2024-07-01,LE,24.78402671477177
2020-01-01,LE,19.4737537445594
2020-02-01,LE,19.000452643017326
2020-03-01,LE,19.204694864016762
2020-04-01,LE,19.28061196306712
2020-05-01,LE,19.334774119584473
2020-06-01,LE,19.25377734779952
2020-07-01,LE,19.332051290493926
2020-08-01,LE,19.169836295507555
2020-09-01,LE,19.29909864271568
2020-10-01,LE,19.424423918532156
2020-11-01,LE,19.469580264066405
2020-12-01,LE,19.839049749076
2021-01-01,LE,20.117619843111374
2021-02-01,LE,19.838763542511323
2021-03-01,LE,19.933425218174268
2021-04-01,LE,20.47386766207502
2021-05-01,LE,19.999782308223768
2021-06-01,LE,19.72162735764739
2021-07-01,LE,20.079363460624435
2021-08-01,LE,20.087099689893112
2021-09-01,LE,20.240962862642608
2021-10-01,LE,20.706314979701244
2021-11-01,LE,20.830836327480238
2021-12-01,LE,21.02769915424192
2022-01-01,LE,22.301960533739617
2022-02-01,LE,21.644519284264064
2022-03-01,LE,21.54873987985413
2022-04-01,LE,21.424406575702275
2022-05-01,LE,21.55202298954896
2022-06-01,LE,21.802377080620623
2022-07-01,LE,22.07516552326122
2022-08-01,LE,21.74248261572866
2022-09-01,LE,22.017451020260474
2022-10-01,LE,22.227864547764728
2022-11-01,LE,22.442582912922024
2022-12-01,LE,22.7685317001375
2018-01-01,LE,18.29562931686722
2018-02-01,LE,18.401891833402768
2018-03-01,LE,18.456026587681357
2018-04-01,LE,18.05829115304628
2018-05-01,LE,18.501564646839118
2018-06-01,LE,19.09289294542567
2018-07-01,LE,18.908094522103422
2018-08-01,LE,18.76237389299531
2018-09-01,LE,18.63879073210401
2018-10-01,LE,18.39288050792994
2018-11-01,LE,18.53543036924854
2018-12-01,LE,18.656225686616253
2019-01-01,LE,18.656236244424946
2019-02-01,LE,18.83547514224377
2019-03-01,LE,18.546597167765963
2019-04-01,LE,18.47476377366801
2019-05-01,LE,18.433839280348007
2019-06-01,LE,18.641809370964783
2019-07-01,LE,18.701777194086173
2019-08-01,LE,18.545230092323003
2019-09-01,LE,18.75934729617056
2019-10-01,LE,19.16129360564372
2019-11-01,LE,19.137366256809884
2019-12-01,LE,19.324786202323732
