noc_2021,aioe,caioe,groupmean,noc_title,exposure_level,comp_level,quadrant,label
11,6.598938755,4.09714316,0.7275,Senior government managers and officials,High Exposure,High Complementarity,HE-HC,NA
12,6.598938755,4.09714316,0.7275,"Senior managers - financial, communications and other business services",High Exposure,High Complementarity,HE-HC,NA
13,6.567002537,4.176818592,0.712476852,"Senior managers - health, education, social and community services and membership organizations",High Exposure,High Complementarity,HE-HC,NA
14,6.486245376,4.176376083,0.704111111,"Senior managers - trade, broadcasting and other services",High Exposure,High Complementarity,HE-HC,NA
15,6.598938755,4.09714316,0.7275,"Senior managers - construction, transportation, production and utilities",High Exposure,High Complementarity,HE-HC,NA
10010,6.647188027,4.664204772,0.646759259,Financial managers,High Exposure,High Complementarity,HE-HC,Financial managers
10011,6.62976422,4.44562523,0.677777778,Human resources managers,High Exposure,High Complementarity,HE-HC,NA
10012,6.687508505,4.779745588,0.633611111,Purchasing managers,High Exposure,High Complementarity,HE-HC,NA
10020,6.623038024,4.76227683,0.629513889,"Insurance, real estate and financial brokerage managers",High Exposure,High Complementarity,HE-HC,NA
10021,6.672870348,4.688521475,0.645694444,"Banking, credit and other investment managers",High Exposure,High Complementarity,HE-HC,NA
10029,6.478557879,4.484214383,0.65712963,Other business services managers,High Exposure,High Complementarity,HE-HC,NA
11101,6.656898,0.858514833,0.6335,Financial and investment analysts,High Exposure,High Complementarity,HE-HC,Financial and investment analysts
11200,6.649056518,4.873566936,0.615509259,Human resources professionals,High Exposure,High Complementarity,HE-HC,NA
12013,6.589553917,4.45992542,0.671666667,"Supervisors, supply chain, tracking and scheduling coordination occupations",High Exposure,High Complementarity,HE-HC,NA
12101,6.647628811,4.675498931,0.645,Human resources and recruitment officers,High Exposure,High Complementarity,HE-HC,NA
12102,6.547963885,4.678887196,0.634166667,Procurement and purchasing agents and officers,High Exposure,High Complementarity,HE-HC,NA
12103,6.203170865,4.125108625,0.683333333,Conference and event planners,High Exposure,High Complementarity,HE-HC,NA
13101,6.618110325,4.516860297,0.665833333,Property administrators,High Exposure,High Complementarity,HE-HC,NA
14405,6.570109431,4.748729094,0.625555556,Transportation route and crew schedulers,High Exposure,High Complementarity,HE-HC,NA
20010,6.530154689,4.190182592,0.706666667,Engineering managers,High Exposure,High Complementarity,HE-HC,NA
20011,6.525015106,4.193223461,0.705694444,Architecture and science managers,High Exposure,High Complementarity,HE-HC,NA
20012,6.606680196,4.65268905,0.644027778,Computer and information systems managers,High Exposure,High Complementarity,HE-HC,NA
21101,6.364369049,4.461008831,0.6475,Chemists,High Exposure,High Complementarity,HE-HC,NA
21102,6.370044224,4.4169747,0.654861111,Geoscientists and oceanographers,High Exposure,High Complementarity,HE-HC,NA
21109,6.564252407,4.525687354,0.658888889,Other professional occupations in physical sciences,High Exposure,High Complementarity,HE-HC,NA
21110,6.454008795,4.40791912,0.666035354,Biologists and related scientists,High Exposure,High Complementarity,HE-HC,NA
21111,5.999752806,3.949837264,0.69,Forestry professionals,High Exposure,High Complementarity,HE-HC,NA
21120,6.40604098,4.363123635,0.667916667,Public and environmental health and safety professionals,High Exposure,High Complementarity,HE-HC,NA
21200,6.521839404,4.393183488,0.674722222,Architects,High Exposure,High Complementarity,HE-HC,NA
21201,6.531681464,4.633865128,0.638888889,Landscape architects,High Exposure,High Complementarity,HE-HC,NA
21202,6.593738652,4.639427779,0.644722222,Urban and land use planners,High Exposure,High Complementarity,HE-HC,NA
21203,6.155387159,4.246401898,0.659444444,Land surveyors,High Exposure,High Complementarity,HE-HC,NA
21300,6.440660036,4.508050147,0.648518519,Civil engineers,High Exposure,High Complementarity,HE-HC,NA
21301,6.447680579,4.525221407,0.646527778,Mechanical engineers,High Exposure,High Complementarity,HE-HC,Mechanical engineers
21310,6.423620125,4.707359884,0.615092593,Electrical and electronics engineers,High Exposure,High Complementarity,HE-HC,Electrical and electronics engineers
21320,6.522620745,4.74915779,0.619907407,Chemical engineers,High Exposure,High Complementarity,HE-HC,NA
21321,6.455327635,4.409542892,0.665138889,Industrial and manufacturing engineers,High Exposure,High Complementarity,HE-HC,NA
21322,6.467547808,4.63687247,0.631388889,Metallurgical and materials engineers,High Exposure,High Complementarity,HE-HC,NA
21330,6.641723378,4.634446979,0.650555556,Mining engineers,High Exposure,High Complementarity,HE-HC,NA
21331,6.641723378,4.634446979,0.650555556,Geological engineers,High Exposure,High Complementarity,HE-HC,NA
21332,6.637833461,4.620669626,0.652222222,Petroleum engineers,High Exposure,High Complementarity,HE-HC,NA
21399,6.469651611,4.58957383,0.639316239,Other professional engineers,High Exposure,High Complementarity,HE-HC,NA
22113,6.117601669,4.12620778,0.67587963,Conservation and fishery officers,High Exposure,High Complementarity,HE-HC,NA
22211,6.425401608,4.708391511,0.615555556,Industrial designers,High Exposure,High Complementarity,HE-HC,NA
22232,6.495117106,4.520532399,0.651805556,Occupational health and safety specialists,High Exposure,High Complementarity,HE-HC,NA
22233,6.201742964,4.23441228,0.665555556,Construction inspectors,High Exposure,High Complementarity,HE-HC,NA
22301,5.980606607,4.326422679,0.624814815,Mechanical engineering technologists and technicians,High Exposure,High Complementarity,HE-HC,NA
22302,6.309841231,4.627216903,0.615,Industrial engineering and manufacturing technologists and technicians,High Exposure,High Complementarity,HE-HC,NA
22310,6.181654365,4.53810689,0.61412037,Electrical and electronics engineering technologists and technicians,High Exposure,High Complementarity,HE-HC,NA
31100,6.3362572,3.714613111,0.763002137,Specialists in clinical and laboratory medicine,High Exposure,High Complementarity,HE-HC,NA
31101,6.278439261,3.856972106,0.733125,Specialists in surgery,High Exposure,High Complementarity,HE-HC,Surgeons
31102,6.492166218,3.8379599,0.757361111,General practitioners and family physicians,High Exposure,High Complementarity,HE-HC,NA
31103,6.017719406,3.45851707,0.773611111,Veterinarians,High Exposure,High Complementarity,HE-HC,NA
31110,5.988550633,3.307854735,0.796111111,Dentists,High Exposure,High Complementarity,HE-HC,NA
31111,6.30295576,3.970862129,0.718333333,Optometrists,High Exposure,High Complementarity,HE-HC,NA
31112,6.494087008,4.20228669,0.701111111,Audiologists and speech-language pathologists,High Exposure,High Complementarity,HE-HC,NA
31120,6.313195205,3.975559314,0.718611111,Pharmacists,High Exposure,High Complementarity,HE-HC,NA
31121,6.504914839,4.400512307,0.672083333,Dietitians and nutritionists,High Exposure,High Complementarity,HE-HC,NA
31200,6.658392216,4.73540152,0.637111111,Psychologists,High Exposure,High Complementarity,HE-HC,NA
31203,6.139053132,3.749677744,0.7375,Occupational therapists,High Exposure,High Complementarity,HE-HC,NA
31204,6.133306638,4.020612444,0.692916667,Kinesiologists and other professional occupations in therapy and assessment,High Exposure,High Complementarity,HE-HC,NA
31209,6.041861689,4.28340382,0.638269231,Other professional occupations in health diagnosing and treating,High Exposure,High Complementarity,HE-HC,NA
31301,6.163441229,3.897713837,0.716468254,Registered nurses and registered psychiatric nurses,High Exposure,High Complementarity,HE-HC,NA
31302,6.145852755,3.739490892,0.739861111,Nurse practitioners,High Exposure,High Complementarity,HE-HC,NA
31303,6.287033885,4.184435401,0.683156566,"Physician assistants, midwives and allied health professionals",High Exposure,High Complementarity,HE-HC,NA
32103,6.039097481,3.997363532,0.685694444,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",High Exposure,High Complementarity,HE-HC,NA
32104,6.165838578,4.202505626,0.664722222,Animal health technologists and veterinary technicians,High Exposure,High Complementarity,HE-HC,NA
32120,6.08286021,4.471122727,0.613373016,Medical laboratory technologists,High Exposure,High Complementarity,HE-HC,NA
32123,5.993582458,4.355336586,0.621666667,Cardiology technologists and electrophysiological diagnostic technologists,High Exposure,High Complementarity,HE-HC,NA
32200,6.295661264,4.005230736,0.7125,Traditional Chinese medicine practitioners and acupuncturists,High Exposure,High Complementarity,HE-HC,NA
32209,6.295661264,4.005230736,0.7125,Other practitioners of natural healing,High Exposure,High Complementarity,HE-HC,NA
40010,6.471193881,4.415844889,0.667407407,Government managers - health and social policy development and program administration,High Exposure,High Complementarity,HE-HC,NA
40011,6.471193881,4.415844889,0.667407407,"Government managers - economic analysis, policy development and program administration",High Exposure,High Complementarity,HE-HC,NA
40012,6.471193881,4.415844889,0.667407407,Government managers - education policy development and program administration,High Exposure,High Complementarity,HE-HC,NA
40019,6.577161363,4.702029001,0.634675926,Other managers in public administration,High Exposure,High Complementarity,HE-HC,NA
40020,6.693199791,4.376608974,0.694444444,Administrators - post-secondary education and vocational training,High Exposure,High Complementarity,HE-HC,Post-secondary education administrators
40021,6.45982616,3.792548433,0.761111111,School principals and administrators of elementary and secondary education,High Exposure,High Complementarity,HE-HC,NA
40030,6.304962693,4.184690451,0.687685185,"Managers in social, community and correctional services",High Exposure,High Complementarity,HE-HC,NA
41100,6.753844133,4.071067158,0.745555556,Judges,High Exposure,High Complementarity,HE-HC,Judges
41101,6.633534727,4.265731359,0.705277778,Lawyers and Quebec notaries,High Exposure,High Complementarity,HE-HC,Lawyers
41200,6.591753611,4.400013298,0.681151961,University professors and lecturers,High Exposure,High Complementarity,HE-HC,NA
41210,6.577923525,4.397325173,0.680071429,College and other vocational instructors,High Exposure,High Complementarity,HE-HC,NA
41220,6.571574886,4.337239425,0.688333333,Secondary school teachers,High Exposure,High Complementarity,HE-HC,NA
41221,6.343902776,4.108684123,0.700722222,Elementary school and kindergarten teachers,High Exposure,High Complementarity,HE-HC,NA
41300,6.48878506,4.344297117,0.678796296,Social workers,High Exposure,High Complementarity,HE-HC,NA
41301,6.477722812,4.494776498,0.655425926,Therapists in counselling and related specialized therapies,High Exposure,High Complementarity,HE-HC,NA
41302,6.668950389,4.179208911,0.721666667,Religious leaders,High Exposure,High Complementarity,HE-HC,NA
41310,6.234818757,4.023766355,0.704814815,Police investigators and other investigative occupations,High Exposure,High Complementarity,HE-HC,NA
41311,6.1394277,4.101478783,0.680277778,Probation and parole officers,High Exposure,High Complementarity,HE-HC,NA
41320,6.473582601,4.191644734,0.700833333,Educational counsellors,High Exposure,High Complementarity,HE-HC,NA
41321,6.569150282,4.555959641,0.655416667,Career development practitioners and career counsellors (except education),High Exposure,High Complementarity,HE-HC,NA
41400,6.499434183,4.621468795,0.636944444,"Natural and applied science policy researchers, consultants and program officers",High Exposure,High Complementarity,HE-HC,NA
41405,6.645306273,4.391439895,0.6875,"Education policy researchers, consultants and program officers",High Exposure,High Complementarity,HE-HC,NA
41409,6.563945292,4.706995033,0.631888889,Other professional occupations in social science,High Exposure,High Complementarity,HE-HC,NA
42201,6.3485823,4.279757509,0.674222222,Social and community service workers,High Exposure,High Complementarity,HE-HC,NA
42203,6.254146039,3.933006025,0.720888889,Instructors of persons with disabilities,High Exposure,High Complementarity,HE-HC,NA
43109,6.422526961,4.723674415,0.613333333,Other instructors,High Exposure,High Complementarity,HE-HC,NA
43203,5.989408952,4.08777161,0.665833333,"Border services, customs, and immigration officers",High Exposure,High Complementarity,HE-HC,NA
50010,6.471193881,4.415844889,0.667407407,"Library, archive, museum and art gallery managers",High Exposure,High Complementarity,HE-HC,NA
50011,6.484575341,4.607653991,0.638564815,"Managers - publishing, motion pictures, broadcasting and performing arts",High Exposure,High Complementarity,HE-HC,NA
50012,6.25036284,4.515055792,0.625231481,"Recreation, sports and fitness program and service directors",High Exposure,High Complementarity,HE-HC,NA
51100,6.365586874,4.517798462,0.638611111,Librarians,High Exposure,High Complementarity,HE-HC,NA
51101,6.1800504,4.231895951,0.662777778,Conservators and curators,High Exposure,High Complementarity,HE-HC,NA
51110,6.543130636,4.811018554,0.613055556,Editors,High Exposure,High Complementarity,HE-HC,NA
51113,6.56755127,4.653839802,0.639722222,Journalists,High Exposure,High Complementarity,HE-HC,NA
51114,6.523049621,4.692971811,0.628888889,"Translators, terminologists and interpreters",High Exposure,High Complementarity,HE-HC,Translators
51120,6.292552339,4.420683731,0.647708333,"Producers, directors, choreographers and related occupations",High Exposure,High Complementarity,HE-HC,NA
52114,6.417429825,4.643723526,0.624722222,Announcers and other broadcasters,High Exposure,High Complementarity,HE-HC,NA
52121,6.540182749,4.536343423,0.654722222,Interior designers and interior decorators,High Exposure,High Complementarity,HE-HC,NA
53100,5.993465673,4.265349737,0.636666667,"Registrars, restorers, interpreters and other occupations related to museum and art galleries",High Exposure,High Complementarity,HE-HC,NA
53201,6.08725821,3.858645343,0.714444444,Coaches,High Exposure,High Complementarity,HE-HC,NA
