month,Quadrant,ind,N
2023-01-01,HE-HC,Service Industries,24295
2023-02-01,HE-HC,Service Industries,22588
2023-03-01,HE-HC,Service Industries,26268
2023-04-01,HE-HC,Service Industries,22044
2023-05-01,HE-HC,Service Industries,23427
2023-06-01,HE-HC,Service Industries,24959
2023-07-01,HE-HC,Service Industries,21502
2023-08-01,HE-HC,Service Industries,21407
2023-09-01,HE-HC,Service Industries,21434
2023-10-01,HE-HC,Service Industries,18825
2023-11-01,HE-HC,Service Industries,20207
2023-12-01,HE-HC,Service Industries,17384
2024-01-01,HE-HC,Service Industries,21330
2024-02-01,HE-HC,Service Industries,20733
2024-03-01,HE-HC,Service Industries,20399
2024-04-01,HE-HC,Service Industries,19987
2024-05-01,HE-HC,Service Industries,21981
2024-06-01,HE-HC,Service Industries,20308
2024-07-01,HE-HC,Service Industries,18450
2020-01-01,HE-HC,Service Industries,15155
2020-02-01,HE-HC,Service Industries,11994
2020-03-01,HE-HC,Service Industries,8607
2020-04-01,HE-HC,Service Industries,4881
2020-05-01,HE-HC,Service Industries,6573
2020-06-01,HE-HC,Service Industries,9047
2020-07-01,HE-HC,Service Industries,9747
2020-08-01,HE-HC,Service Industries,9208
2020-09-01,HE-HC,Service Industries,10443
2020-10-01,HE-HC,Service Industries,10054
2020-11-01,HE-HC,Service Industries,10080
2020-12-01,HE-HC,Service Industries,9863
2021-01-01,HE-HC,Service Industries,11090
2021-02-01,HE-HC,Service Industries,11300
2021-03-01,HE-HC,Service Industries,14183
2021-04-01,HE-HC,Service Industries,14555
2021-05-01,HE-HC,Service Industries,16040
2021-06-01,HE-HC,Service Industries,18343
2021-07-01,HE-HC,Service Industries,16273
2021-08-01,HE-HC,Service Industries,15920
2021-09-01,HE-HC,Service Industries,16233
2021-10-01,HE-HC,Service Industries,19219
2021-11-01,HE-HC,Service Industries,19494
2021-12-01,HE-HC,Service Industries,18028
2022-01-01,HE-HC,Service Industries,23363
2022-02-01,HE-HC,Service Industries,23294
2022-03-01,HE-HC,Service Industries,26309
2022-04-01,HE-HC,Service Industries,27232
2022-05-01,HE-HC,Service Industries,28918
2022-06-01,HE-HC,Service Industries,31790
2022-07-01,HE-HC,Service Industries,26897
2022-08-01,HE-HC,Service Industries,25028
2022-09-01,HE-HC,Service Industries,24797
2022-10-01,HE-HC,Service Industries,24519
2022-11-01,HE-HC,Service Industries,24565
2022-12-01,HE-HC,Service Industries,21072
2018-01-01,HE-HC,Service Industries,17862
2018-02-01,HE-HC,Service Industries,15665
2018-03-01,HE-HC,Service Industries,17953
2018-04-01,HE-HC,Service Industries,16982
2018-05-01,HE-HC,Service Industries,18002
2018-06-01,HE-HC,Service Industries,17456
2018-07-01,HE-HC,Service Industries,17031
2018-08-01,HE-HC,Service Industries,17123
2018-09-01,HE-HC,Service Industries,17040
2018-10-01,HE-HC,Service Industries,18055
2018-11-01,HE-HC,Service Industries,17533
2018-12-01,HE-HC,Service Industries,14062
2019-01-01,HE-HC,Service Industries,18095
2019-02-01,HE-HC,Service Industries,16223
2019-03-01,HE-HC,Service Industries,19571
2019-04-01,HE-HC,Service Industries,17200
2019-05-01,HE-HC,Service Industries,19567
2019-06-01,HE-HC,Service Industries,18081
2019-07-01,HE-HC,Service Industries,19425
2019-08-01,HE-HC,Service Industries,19235
2019-09-01,HE-HC,Service Industries,16159
2019-10-01,HE-HC,Service Industries,21779
2019-11-01,HE-HC,Service Industries,18918
2019-12-01,HE-HC,Service Industries,12215
2023-01-01,HE-LC,Service Industries,30819
2023-02-01,HE-LC,Service Industries,27229
2023-03-01,HE-LC,Service Industries,30052
2023-04-01,HE-LC,Service Industries,24690
2023-05-01,HE-LC,Service Industries,25450
2023-06-01,HE-LC,Service Industries,26596
2023-07-01,HE-LC,Service Industries,24946
2023-08-01,HE-LC,Service Industries,25983
2023-09-01,HE-LC,Service Industries,24876
2023-10-01,HE-LC,Service Industries,20037
2023-11-01,HE-LC,Service Industries,21205
2023-12-01,HE-LC,Service Industries,17758
2024-01-01,HE-LC,Service Industries,22283
2024-02-01,HE-LC,Service Industries,20749
2024-03-01,HE-LC,Service Industries,21665
2024-04-01,HE-LC,Service Industries,21114
2024-05-01,HE-LC,Service Industries,21716
2024-06-01,HE-LC,Service Industries,20153
2024-07-01,HE-LC,Service Industries,19587
2020-01-01,HE-LC,Service Industries,21790
2020-02-01,HE-LC,Service Industries,16675
2020-03-01,HE-LC,Service Industries,13622
2020-04-01,HE-LC,Service Industries,7560
2020-05-01,HE-LC,Service Industries,9736
2020-06-01,HE-LC,Service Industries,13774
2020-07-01,HE-LC,Service Industries,14817
2020-08-01,HE-LC,Service Industries,14673
2020-09-01,HE-LC,Service Industries,15668
2020-10-01,HE-LC,Service Industries,16717
2020-11-01,HE-LC,Service Industries,14965
2020-12-01,HE-LC,Service Industries,12754
2021-01-01,HE-LC,Service Industries,15211
2021-02-01,HE-LC,Service Industries,16039
2021-03-01,HE-LC,Service Industries,20560
2021-04-01,HE-LC,Service Industries,19238
2021-05-01,HE-LC,Service Industries,20184
2021-06-01,HE-LC,Service Industries,25799
2021-07-01,HE-LC,Service Industries,24820
2021-08-01,HE-LC,Service Industries,23207
2021-09-01,HE-LC,Service Industries,24756
2021-10-01,HE-LC,Service Industries,29581
2021-11-01,HE-LC,Service Industries,27649
2021-12-01,HE-LC,Service Industries,23970
2022-01-01,HE-LC,Service Industries,32009
2022-02-01,HE-LC,Service Industries,33203
2022-03-01,HE-LC,Service Industries,38869
2022-04-01,HE-LC,Service Industries,40447
2022-05-01,HE-LC,Service Industries,41504
2022-06-01,HE-LC,Service Industries,43212
2022-07-01,HE-LC,Service Industries,37765
2022-08-01,HE-LC,Service Industries,36969
2022-09-01,HE-LC,Service Industries,36446
2022-10-01,HE-LC,Service Industries,33634
2022-11-01,HE-LC,Service Industries,32961
2022-12-01,HE-LC,Service Industries,25608
2018-01-01,HE-LC,Service Industries,24940
2018-02-01,HE-LC,Service Industries,23682
2018-03-01,HE-LC,Service Industries,28146
2018-04-01,HE-LC,Service Industries,25921
2018-05-01,HE-LC,Service Industries,26413
2018-06-01,HE-LC,Service Industries,25078
2018-07-01,HE-LC,Service Industries,26025
2018-08-01,HE-LC,Service Industries,27523
2018-09-01,HE-LC,Service Industries,27432
2018-10-01,HE-LC,Service Industries,28713
2018-11-01,HE-LC,Service Industries,25288
2018-12-01,HE-LC,Service Industries,18737
2019-01-01,HE-LC,Service Industries,25272
2019-02-01,HE-LC,Service Industries,23549
2019-03-01,HE-LC,Service Industries,26745
2019-04-01,HE-LC,Service Industries,25357
2019-05-01,HE-LC,Service Industries,25175
2019-06-01,HE-LC,Service Industries,22900
2019-07-01,HE-LC,Service Industries,26478
2019-08-01,HE-LC,Service Industries,27686
2019-09-01,HE-LC,Service Industries,24992
2019-10-01,HE-LC,Service Industries,30644
2019-11-01,HE-LC,Service Industries,27018
2019-12-01,HE-LC,Service Industries,16565
2023-01-01,LE,Service Industries,34754
2023-02-01,LE,Service Industries,32655
2023-03-01,LE,Service Industries,36381
2023-04-01,LE,Service Industries,29076
2023-05-01,LE,Service Industries,29584
2023-06-01,LE,Service Industries,32546
2023-07-01,LE,Service Industries,31313
2023-08-01,LE,Service Industries,33914
2023-09-01,LE,Service Industries,31858
2023-10-01,LE,Service Industries,26213
2023-11-01,LE,Service Industries,27875
2023-12-01,LE,Service Industries,23280
2024-01-01,LE,Service Industries,27509
2024-02-01,LE,Service Industries,26054
2024-03-01,LE,Service Industries,26910
2024-04-01,LE,Service Industries,27113
2024-05-01,LE,Service Industries,28855
2024-06-01,LE,Service Industries,25615
2024-07-01,LE,Service Industries,26633
2020-01-01,LE,Service Industries,16458
2020-02-01,LE,Service Industries,12901
2020-03-01,LE,Service Industries,12867
2020-04-01,LE,Service Industries,9149
2020-05-01,LE,Service Industries,12586
2020-06-01,LE,Service Industries,15422
2020-07-01,LE,Service Industries,16754
2020-08-01,LE,Service Industries,17495
2020-09-01,LE,Service Industries,17935
2020-10-01,LE,Service Industries,16409
2020-11-01,LE,Service Industries,15234
2020-12-01,LE,Service Industries,13214
2021-01-01,LE,Service Industries,14240
2021-02-01,LE,Service Industries,14298
2021-03-01,LE,Service Industries,18393
2021-04-01,LE,Service Industries,17258
2021-05-01,LE,Service Industries,19035
2021-06-01,LE,Service Industries,24140
2021-07-01,LE,Service Industries,23602
2021-08-01,LE,Service Industries,22759
2021-09-01,LE,Service Industries,23193
2021-10-01,LE,Service Industries,25484
2021-11-01,LE,Service Industries,25167
2021-12-01,LE,Service Industries,24613
2022-01-01,LE,Service Industries,29233
2022-02-01,LE,Service Industries,31025
2022-03-01,LE,Service Industries,36796
2022-04-01,LE,Service Industries,42787
2022-05-01,LE,Service Industries,43440
2022-06-01,LE,Service Industries,44622
2022-07-01,LE,Service Industries,39582
2022-08-01,LE,Service Industries,42153
2022-09-01,LE,Service Industries,39369
2022-10-01,LE,Service Industries,38354
2022-11-01,LE,Service Industries,36796
2022-12-01,LE,Service Industries,31578
2018-01-01,LE,Service Industries,17230
2018-02-01,LE,Service Industries,16547
2018-03-01,LE,Service Industries,18184
2018-04-01,LE,Service Industries,19044
2018-05-01,LE,Service Industries,20607
2018-06-01,LE,Service Industries,18284
2018-07-01,LE,Service Industries,19009
2018-08-01,LE,Service Industries,20593
2018-09-01,LE,Service Industries,19948
2018-10-01,LE,Service Industries,20022
2018-11-01,LE,Service Industries,19318
2018-12-01,LE,Service Industries,14411
2019-01-01,LE,Service Industries,18583
2019-02-01,LE,Service Industries,17929
2019-03-01,LE,Service Industries,20687
2019-04-01,LE,Service Industries,19409
2019-05-01,LE,Service Industries,20759
2019-06-01,LE,Service Industries,18692
2019-07-01,LE,Service Industries,19971
2019-08-01,LE,Service Industries,22366
2019-09-01,LE,Service Industries,19681
2019-10-01,LE,Service Industries,22501
2019-11-01,LE,Service Industries,20214
2019-12-01,LE,Service Industries,13565
