month,Quadrant,avg_remuneration
2023-01-01,HE-HC,35.4294678962624
2023-02-01,HE-HC,35.28315992169403
2023-03-01,HE-HC,35.408603510733315
2023-04-01,HE-HC,35.92404274313795
2023-05-01,HE-HC,35.636882025446056
2023-06-01,HE-HC,36.46669922627239
2023-07-01,HE-HC,36.380062945236844
2023-08-01,HE-HC,35.568063214878144
2023-09-01,HE-HC,36.17039609197382
2023-10-01,HE-HC,37.02400195877202
2023-11-01,HE-HC,37.757645155492696
2023-12-01,HE-HC,38.73189659286306
2024-01-01,HE-HC,38.42216730232174
2024-02-01,HE-HC,39.411679865047034
2024-03-01,HE-HC,39.196084544978916
2024-04-01,HE-HC,39.99600341708532
2024-05-01,HE-HC,38.60002449450802
2024-06-01,HE-HC,38.487564663335704
2024-07-01,HE-HC,38.69991863961181
2020-01-01,HE-HC,33.492776392251486
2020-02-01,HE-HC,31.65533909703491
2020-03-01,HE-HC,31.872344690688664
2020-04-01,HE-HC,33.63811726835136
2020-05-01,HE-HC,31.567835874515236
2020-06-01,HE-HC,31.657583186642473
2020-07-01,HE-HC,31.643512615564795
2020-08-01,HE-HC,31.144135436493915
2020-09-01,HE-HC,31.669224049857377
2020-10-01,HE-HC,31.866020348143486
2020-11-01,HE-HC,32.099018606321515
2020-12-01,HE-HC,33.501845609587356
2021-01-01,HE-HC,32.71438487149534
2021-02-01,HE-HC,32.21181521910257
2021-03-01,HE-HC,33.39673564405077
2021-04-01,HE-HC,34.10382069061118
2021-05-01,HE-HC,33.21160280935545
2021-06-01,HE-HC,32.717322792834835
2021-07-01,HE-HC,32.61109703789499
2021-08-01,HE-HC,32.83558351126886
2021-09-01,HE-HC,33.51819319747803
2021-10-01,HE-HC,33.89993435961532
2021-11-01,HE-HC,34.73259152249089
2021-12-01,HE-HC,34.809694291403346
2022-01-01,HE-HC,34.996834161914904
2022-02-01,HE-HC,34.934663704374955
2022-03-01,HE-HC,34.67535396134726
2022-04-01,HE-HC,33.856730741327844
2022-05-01,HE-HC,33.37210460698312
2022-06-01,HE-HC,34.61568775320899
2022-07-01,HE-HC,34.688105143709315
2022-08-01,HE-HC,34.33646965226513
2022-09-01,HE-HC,35.18806228173284
2022-10-01,HE-HC,34.73405650101485
2022-11-01,HE-HC,35.50782079482384
2022-12-01,HE-HC,36.07690938066569
2018-01-01,HE-HC,31.722235250674608
2018-02-01,HE-HC,30.535655791388763
2018-03-01,HE-HC,30.58818933884297
2018-04-01,HE-HC,29.89162779912099
2018-05-01,HE-HC,29.380118934015844
2018-06-01,HE-HC,31.01144016928636
2018-07-01,HE-HC,30.821923262130863
2018-08-01,HE-HC,30.437658512533993
2018-09-01,HE-HC,30.60587417765348
2018-10-01,HE-HC,31.26797513812139
2018-11-01,HE-HC,31.421238380462555
2018-12-01,HE-HC,31.488629307233033
2019-01-01,HE-HC,29.924875989361627
2019-02-01,HE-HC,31.300960659177765
2019-03-01,HE-HC,31.872003503388132
2019-04-01,HE-HC,31.502271655359053
2019-05-01,HE-HC,31.120457732464786
2019-06-01,HE-HC,31.6863775616626
2019-07-01,HE-HC,31.58842697252282
2019-08-01,HE-HC,31.20362151898677
2019-09-01,HE-HC,32.413506208651015
2019-10-01,HE-HC,34.667291820911785
2019-11-01,HE-HC,33.832028362036965
2019-12-01,HE-HC,33.87305514390645
2023-01-01,HE-LC,24.607876713405204
2023-02-01,HE-LC,25.205334448137027
2023-03-01,HE-LC,24.619326204979807
2023-04-01,HE-LC,24.690476111719732
2023-05-01,HE-LC,24.845948594227625
2023-06-01,HE-LC,25.19546039038495
2023-07-01,HE-LC,25.363158715242317
2023-08-01,HE-LC,25.06147938231417
2023-09-01,HE-LC,25.512607781324817
2023-10-01,HE-LC,25.84845837475661
2023-11-01,HE-LC,26.612540849753934
2023-12-01,HE-LC,27.348668211787956
2024-01-01,HE-LC,27.4346801216478
2024-02-01,HE-LC,28.329475127548793
2024-03-01,HE-LC,27.952249118144643
2024-04-01,HE-LC,28.6001211455176
2024-05-01,HE-LC,27.074807697134787
2024-06-01,HE-LC,27.070131934137766
2024-07-01,HE-LC,27.587248609179756
2020-01-01,HE-LC,22.57444240980821
2020-02-01,HE-LC,21.649597887640642
2020-03-01,HE-LC,22.16637251578607
2020-04-01,HE-LC,22.38448550583667
2020-05-01,HE-LC,22.08414003595872
2020-06-01,HE-LC,21.544073190045783
2020-07-01,HE-LC,21.139598651932285
2020-08-01,HE-LC,21.192207572039955
2020-09-01,HE-LC,21.51888272313484
2020-10-01,HE-LC,22.16055891899571
2020-11-01,HE-LC,22.363442537164715
2020-12-01,HE-LC,23.464172713469175
2021-01-01,HE-LC,23.212109606821087
2021-02-01,HE-LC,22.538883840758036
2021-03-01,HE-LC,22.18527479274601
2021-04-01,HE-LC,22.794806385068878
2021-05-01,HE-LC,22.497263646460095
2021-06-01,HE-LC,22.002399976814385
2021-07-01,HE-LC,22.24098559486155
2021-08-01,HE-LC,22.270226177501062
2021-09-01,HE-LC,22.775983606880132
2021-10-01,HE-LC,23.06976847642449
2021-11-01,HE-LC,23.195567318068264
2021-12-01,HE-LC,23.53192827700666
2022-01-01,HE-LC,24.423867936849327
2022-02-01,HE-LC,24.116784381889158
2022-03-01,HE-LC,23.48255066833118
2022-04-01,HE-LC,23.60278602172365
2022-05-01,HE-LC,23.445017252318124
2022-06-01,HE-LC,23.958104858240432
2022-07-01,HE-LC,23.96001274064442
2022-08-01,HE-LC,23.504187576295674
2022-09-01,HE-LC,23.998969118220817
2022-10-01,HE-LC,24.047460377703317
2022-11-01,HE-LC,24.51116646434008
2022-12-01,HE-LC,24.806140960064567
2018-01-01,HE-LC,21.148598854367158
2018-02-01,HE-LC,21.232408519579735
2018-03-01,HE-LC,21.234512665280622
2018-04-01,HE-LC,20.586140107671522
2018-05-01,HE-LC,20.68770580093191
2018-06-01,HE-LC,21.182675680636223
2018-07-01,HE-LC,20.61603890325862
2018-08-01,HE-LC,20.417035705966818
2018-09-01,HE-LC,20.664760923474695
2018-10-01,HE-LC,21.176184235532325
2018-11-01,HE-LC,21.38208270282761
2018-12-01,HE-LC,22.151306103662158
2019-01-01,HE-LC,21.91301867374421
2019-02-01,HE-LC,21.549330863234687
2019-03-01,HE-LC,21.422118268862327
2019-04-01,HE-LC,21.09089687670355
2019-05-01,HE-LC,21.315108845331363
2019-06-01,HE-LC,21.521264557698483
2019-07-01,HE-LC,21.31607548647155
